Phần,Thời gian,Scripts,Concept kỹ thuật
Phần 1: Bối cảnh và cuộc khủng hoảng,00:00 - 00:13,"Khi nói về các mô hình ngôn ngữ lớn ở thời điểm hiện tại, chúng ta thường nghĩ đến GPT, Claude, Gemini, DeepSeek, Llama hay Qianwen hoặc các mô hình ngôn ngữ khác.","- Ký hiệu: Màn hình nền đen. Các chữ GPT, Claude, Gemini, DeepSeek, Llama, Qwen lần lượt hiện ra từ trái qua phải thành một hàng ngang (dùng hàm FadeIn).
- Cách chuyển cảnh: Toàn bộ các chữ này cùng dịch chuyển (Dùng hàm shift) gom lại sát nhau ở chính giữa màn hình."
,00:13 - 00:20,"""Sức mạnh của chúng đang tiến hóa với một tốc độ chóng mặt.""","- Ký hiệu dễ làm: Hàng chữ ở tâm biến mất, thay bằng Một hình tròn màu đỏ nhỏ. Hình tròn này tự động phóng to ra gấp đôi (dùng hàm scale) để thể hiện sức mạnh tiến hóa.
- Cách chuyển cảnh cơ bản: Hình tròn đỏ thu nhỏ lại rồi biến mất (FadeOut), màn hình tự động chia làm hai nửa bằng một đường kẻ thẳng ở giữa (Line)."
,00:20 - 00:36,"""Một số mô hình trong số đó chọn hướng đi ""mở"" hơn phần còn lại (nghĩa là mức độ về các yếu tố như tính minh bạch, quyền truy cập, quyền sử dụng/ chỉnh sửa hoặc công khai các thành phần “mở” hơn các mô hình ngôn ngữ khác), trong khi đó một số mô hình khác thì chỉ có thể truy cập thông qua API - một hướng đi thương mại hơn.""","- Ký hiệu dễ làm:
 + Bên trái đường kẻ: Hiện chữ MÃ NGUỒN MỞ màu xanh kèm một Hình vuông không có màu nền (chỉ có viền) để biểu thị tính trống trải, mở toang.
 + Bên phải đường kẻ: Hiện chữ API THƯƠNG MẠI màu đỏ kèm một Hình vuông được tô màu kín đặc để biểu thị tính đóng kín.
- Cách chuyển cảnh cơ bản: Toàn bộ khung cảnh này biến mất (FadeOut)."
,00:36 - 00:52,"""Nhưng một điểm chung mà chúng ta có thể ngầm hiểu về tất cả các mô hình quyền lực này chính là chúng đều được phát triển bởi khối ngành công nghiệp và các siêu phòng thí nghiệm, những nơi được hỗ trợ bởi nguồn lực tài nguyên tính toán khổng lồ mà không một ai có thể tưởng tượng được.""","- Ký hiệu dễ làm: Xuất hiện một Hình chữ nhật lớn màu xám ở giữa màn hình mang nhãn KHỐI CÔNG NGHIỆP. Bên trong hình chữ nhật lớn này chứa rất nhiều hình vuông nhỏ màu đỏ nhấp nháy (tượng trưng cho các cụm GPU khổng lồ).
- Cách chuyển cảnh cơ bản: Hình chữ nhật lớn này dịch chuyển trượt hẳn sang góc bên phải màn hình và thu nhỏ lại."
,00:52 - 01:06,"""Nhìn vào bức tranh đó, một câu hỏi lớn được đặt ra cho giới học thuật: Vị trí của các trường đại học đang ở đâu trong cuộc đua này?""","- Ký hiệu dễ làm: Ở góc bên trái (đối diện khối công nghiệp), xuất hiện một Hình tròn màu xanh dương mang nhãn ĐẠI HỌC. Một Dấu chấm hỏi lớn (?) màu vàng xuất hiện ngay phía trên hình tròn xanh này.
- Cách chuyển cảnh cơ bản: Hình chữ nhật công nghiệp và dấu chấm hỏi biến mất, hình tròn xanh ĐẠI HỌC phóng to ra làm nền cho cảnh lớp học."
,01:06 - 01:21,"""Thực tế đang phơi bày một nghịch lý nan giải. Tại các giảng đường lớn như Princeton hay các trường đại học về khoa học và công nghệ hàng đầu, các giáo sư hay các nhà nghiên cứu giảng dạy về mô hình ngôn ngữ lớn vẫn dạy các khóa học rất ăn khách về cách vận hành của các mô hình ngôn ngữ nhưng hầu hết đều không thực sự tự mình xây dựng các mô hình ngôn ngữ, phần lớn họ chỉ đang giảng dạy dựa trên sản phẩm của người khác.""","- Ký hiệu dễ làm: Hiện chữ BÀI GIẢNG màu xanh dương ở giữa bảng. Ngay lập tức, một Mũi tên dài màu đỏ tự vẽ từ phía góc màn hình (nơi khối công nghiệp từng đứng) đâm thẳng vào chữ BÀI GIẢNG để biểu thị việc phải dùng nhờ sản phẩm.
- Cách chuyển cảnh cơ bản: Mũi tên và chữ biến mất (FadeOut), màn hình lại chia đôi thành 2 cột vuông vức."
,01:21 - 01:36,"""Và điều tệ hơn nữa là các báo cáo kỹ thuật mà khối công nghiệp đưa ra về mô hình ngôn ngữ mà chúng ta đọc ngày nay rất khác so với các bài nghiên cứu mà sinh viên cao học được giảng dạy, chúng hoàn toàn mất đi bản chất của một bài báo khoa học chuẩn mực...""","- Ký hiệu dễ làm:
 + Cột bên trái: Hiện chữ BÀI BÁO KHOA HỌC (Màu xanh - Rõ ràng, vuông vức).
 + Cột bên phải: Hiện chữ BÁO CÁO DOANH NGHIỆP (Màu đỏ).
- Cách chuyển cảnh cơ bản: Cột bên trái biến mất, cột bên phải di chuyển ra chính giữa màn hình."
,01:36 - 01:47,"""...các chi tiết kỹ thuật cốt lõi trong các bài báo này thường rất mơ hồ, không chính xác hoặc chỉ đề cập sơ lược dưới danh nghĩa bảo mật công nghệ.""","- Ký hiệu dễ làm: Dưới chữ BÁO CÁO DOANH NGHIỆP, xuất hiện các dòng gạch ngang tượng trưng cho văn bản. Ngay sau đó, các Thanh hình chữ nhật màu đen xuất hiện đè lên, che kín các dòng gạch này (Hiệu ứng che phủ thông tin bảo mật).
- Cách chuyển cảnh cơ bản: Các thanh đen và chữ biến mất, nhường chỗ cho 2 nhãn chữ mới."
,01:47 - 01:57,"""Tất nhiên vẫn còn đó một số bài báo hiếm hoi thực sự xuất sắc giữ được sự minh bạch và giá trị học thuật dành cho sinh viên như Instruct GPT và DeepSeek-R1, tuy nhiên chúng chỉ là thiểu số ít ỏi.""","- Ký hiệu dễ làm: Hai nhãn chữ InstructGPT và DeepSeek-R1 hiện ra ngắn gọn ở giữa một màn hình trống không, bao quanh bởi một Hình hộp viền xanh lá cây để thể hiện sự an toàn, minh bạch.
- Cách chuyển cảnh cơ bản: Khung hộp này biến mất, chuẩn bị cho cảnh chốt hạ của chương."
,01:57 - 02:07,"""Khát vọng lớn nhất của giới học thuật là thực hiện các công trình khoa học cơ bản, đi sâu vào bản chất của trí tuệ nhân tạo. Nhưng thực tế phũ phàng đang dội một gáo nước lạnh vào khát vọng đó.""","- Ký hiệu dễ làm: Một chữ KHÁT VỌNG KHOA HỌC màu xanh đang hiện ở tâm. Bất ngờ, một Hình chữ nhật màu xám dày mang tên RÀO CẢN TÍNH TOÁN từ trên đỉnh màn hình rơi thẳng xuống (dùng hàm shift(DOWN)) đè lấp đi chữ khát vọng."
,02:07 - 02:20,"""Tất cả chúng ta đều đang bị bóp nghẹt bởi một rào cản mang tên - năng lực tính toán. Khi ngân sách dành cho học thuật chỉ là một giọt nước nhỏ giữa đại dương tài nguyên của khối công nghiệp, liệu trường đại học có đang dần trở nên vô hình? Trong một kỷ nguyên mà công nghệ thay đổi theo từng giờ, làm thế nào để các nhà nghiên cứu đại học đảm bảo rằng giới học thuật vẫn có thể tạo ra những đóng góp thật sự ý nghĩa và có tầm ảnh hưởng?""
","- Ký hiệu dễ làm [Siêu tối giản]: Màn hình chỉ xuất hiện 2 hình khối đại diện cho bài toán tỷ lệ:
 + Một Hình tròn màu xanh dương siêu nhỏ (bán kính radius=0.1) ghi chữ Học thuật.
 + Đặt cạnh một Hình tròn màu đỏ khổng lồ (bán kính radius=3.5) ghi chữ Công nghiệp. Hình tròn xanh nhỏ bé từ từ mờ dần rồi biến mất (FadeOut với run_time=2), để lại hình tròn đỏ chiếm trọn không gian.
- Cách chuyển cảnh cơ bản: Màn hình tắt đèn đen hoàn toàn để kết thúc Phần 1 dứt khoát."
Phần 2: Các rào cản phải đối mặt,00:00 - 00:11,"""Nhưng lịch sử khoa học đã chứng minh: Tiền bạc và tài nguyên có thể mua được quy mô, nhưng không thể mua đứt được sự sáng tạo. Giới học thuật có thể thiếu hụt trầm trọng về năng lực tính toán, nhưng chưa bao giờ thiếu những bộ não kiệt xuất.""","- Ký hiệu dễ làm: Từ màn hình đen ở cuối Phần 1, xuất hiện một Hình tròn màu xanh dương ở tâm đại diện cho Bộ não học thuật. Xung quanh rìa màn hình, các Hình chữ nhật màu xám thô kệch đại diện cho Tiền bạc / Quy mô công nghiệp xuất hiện và dịch chuyển (shift) ép sát vào nhưng không thể chạm được vào hình tròn xanh ở tâm.  
- Cách chuyển cảnh: Các hình chữ nhật xám mờ dần rồi biến mất (FadeOut)."
,00:11 - 00:24,"""Làm thế nào để nghiên cứu của chúng em không bị tụt hậu và luôn tạo ra những đóng góp thực sự có giá trị?' — Đó là câu hỏi đau đáu mà các sinh viên không chỉ tại Princeton mà còn tại các trường đại học trên thế giới luôn đặt ra mỗi ngày.""","- Ký hiệu dễ làm: Xuất hiện dòng chữ nguyên văn câu hỏi nằm trong dấu ngoặc kép rực sáng ở giữa màn hình (Dùng hiệu ứng Write). Phía dưới dòng chữ, xuất hiện 4-5 Hình tròn màu xanh dương rất nhỏ đại diện cho các cụm sinh viên đang hướng về câu hỏi. 
- Cách chuyển cảnh: Toàn bộ chữ và hình tròn nhỏ biến mất (FadeOut)."
,00:24 - 00:42,"""Câu trả lời dành cho chúng ta là: Thay vì chọn cách đầu hàng và đứng ngoài cuộc chơi, giới học thuật sẽ chọn một lối đi riêng. Một lối đi mà hàng vạn chip xử lý tối tân của khối công nghiệp cũng phải ngả mũ trước những tư duy toán học và thuật toán cốt lõi.""","- Ký hiệu dễ làm: Vẽ hai đường thẳng song song: một đường màu đỏ chạy thẳng băng đại diện cho công nghiệp, một Đường mũi tên màu xanh dương đột ngột rẽ hướng tách ra tạo thành một Lối đi riêng. Trên mũi tên xanh hiện ra các ký hiệu toán học đơn giản như f(x) và (ký hiệu xích ma trong toán).  
- Cách chuyển cảnh: Đường màu đỏ biến mất, đường mũi tên xanh kéo dài ra để dẫn sang phân cảnh tiếp theo."
